date_from,year_from,date_to,year_to,party
11-02-1806,1806,25-03-1807,1807,L
31-03-1807,1807,16-11-1830,1830,C
22-11-1830,1830,14-11-1834,1834,L
10-12-1834,1834,08-04-1835,1835,C
18-04-1835,1835,30-08-1841,1841,L
30-08-1841,1841,29-06-1846,1846,C
30-06-1846,1846,21-02-1852,1852,L
23-02-1852,1852,17-12-1852,1852,C
19-12-1852,1852,21-02-1858,1858,L
21-02-1858,1858,11-04-1859,1859,C
12-06-1859,1859,26-06-1866,1866,L
28-06-1866,1866,25-02-1868,1868,C
03-12-1868,1868,01-01-1874,1874,L
20-02-1874,1874,12-01-1880,1880,C
23-04-1880,1880,09-06-1885,1885,L
23-12-1885,1885,28-01-1886,1886,C
01-02-1886,1886,01-05-1886,1886,L
25-07-1886,1886,11-05-1892,1892,C
15-08-1892,1892,21-06-1895,1895,L
25-07-1895,1895,04/12/1905,1905,C
08/02/1906,1905,05/12/1916,1916,L
