constituency_id,name,start_year,end_year,craig_name,const_type,county_id,county_name,country
354,Aberdeen,1708,1885,,borough,46,Aberdeenshire,Scotland
355,Aberdeenshire,1708,1868,,county,46,Aberdeenshire,Scotland
360,Andover,1660,1918,,borough,14,Hampshire,England
361,Anglesey,1660,1983,,county,45,Wales,Wales
363,Antrim,1802,1885,,county,75,Antrim,Ireland
365,Argyll,1708,1983,,county,48,Argyllshire,Scotland
370,Ayr District of Burghs,1708,1950,,borough,49,Ayrshire,Scotland
371,Ayrshire,1708,1868,,county,49,Ayrshire,Scotland
373,Banffshire,1708,1983,,county,50,Banffshire,Scotland
376,Beaumaris District of Boroughs,1659,1885,,borough,45,Wales,Wales
378,Bedfordshire,1660,1885,,county,1,Bedfordshire,England
380,Berkshire,1660,1885,,county,2,Berkshire,England
382,Berwickshire,1708,1918,,county,51,Berwickshire,Scotland
383,Beverley,1660,1870,,borough,40,Yorkshire East Riding,England
390,Boston,1660,1918,,borough,22,Lincolnshire,England
393,Brecon,1660,1885,,borough,45,Wales,Wales
394,Breconshire,1660,1918,,county,45,Wales,Wales
395,Bridgnorth,1660,1885,,borough,30,Shropshire,England
396,Bridgwater,1660,1870,,borough,31,Somerset,England
397,Bridport,1660,1885,,borough,10,Dorset,England
398,Bristol,1660,1885,,borough,13,Gloucestershire,England
400,Buckinghamshire,1660,1885,,county,3,Buckinghamshire,England
404,Caernarvonshire,1660,1885,,county,45,Wales,Wales
406,Calne,1660,1885,,borough,38,Wiltshire,England
407,Cambridge,1660,,,borough,4,Cambridgeshire,England
408,Cambridge University,1660,1950,,university,43,Universities,England
409,Cambridgeshire,1660,1983,,county,4,Cambridgeshire,England
412,Cardiff District of Boroughs,1660,1918,,borough,45,Wales,Wales
413,Cardigan District of Boroughs,1660,1885,,borough,45,Wales,Wales
414,Cardiganshire,1660,1974,,county,45,Wales,Wales
415,Carlisle,1660,,,borough,7,Cumberland,England
417,Carlow,1802,1922,,county,77,Carlow,Ireland
419,Carmarthenshire,1660,1885,,county,45,Wales,Wales
420,Carrickfergus,1802,1885,,borough,75,Antrim,Ireland
421,Cashel,1801,1870,,borough,101,Tipperary,Ireland
357,Aldborough,1660,1832,,borough,,,
367,Arundel,1660,1868,,county,35,Sussex,England
368,Ashburton,1660,1918,,county,9,Devon,England
372,Banbury,1660,,,county,28,Oxfordshire,England
377,Bedford,1660,1983,,county,1,Bedfordshire,England
384,Bewdley,1660,1950,,county,39,Worcestershire,England
387,Bodmin,1660,1983,,county,6,Cornwall,England
399,Buckingham,1660,,,county,3,Buckinghamshire,England
401,Bury St Edmunds,1660,,,county,33,Suffolk,England
411,Canterbury,1660,,,county,19,Kent,England
375,Bath,1660,,,county,31,Somerset,England
374,Barnstaple,1660,1950,,county,9,Devon,England
418,Carmarthen District of Boroughs,1660,1918,,borough,45,Wales,Wales
416,Carlow,1801,1885,,county,77,Carlow,Ireland
366,Armagh,1802,1885,,county,76,Armagh,Ireland
385,Bishop's Castle,1660,1832,,borough,,,
386,Bletchingley,1660,1832,,borough,,,
388,Boroughbridge,1660,1832,,borough,,,
391,Brackley,1661,1832,,borough,,,
392,Bramber,1660,1832,,borough,,,
405,Callington,1660,1832,,borough,,,
410,Camelford,1660,1832,,borough,,,
422,Castle Rising,1660,1832,,borough,,,
423,Cheshire,1660,1832,,county,,,
379,Bere Alston,1660,1832,,borough,,,
402,Buteshire & Caithness,1708,1832,,county,52,Buteshire,Scotland
403,Caernarvon District of Boroughs,1660,1950,,borough,45,Wales,Wales
358,Aldeburgh,1660,1832,,borough,,,
364,Appleby,1660,1832,,borough,37,Westmorland,England
389,Bossiney,1660,1832,,borough,,,
427,Christchurch,1660,1918,,borough,14,Hampshire,England
429,City of London,1660,1950,,borough,23,Middlesex,England
430,Clackmannanshire and Kinross-shire,1708,1918,,county,54,Clackmannan and Kinross-shire,Scotland
431,Clare,1802,1885,,county,79,Clare,Ireland
433,Clonmel,1801,1885,,borough,101,Tipperary,Ireland
435,Colchester,1659,1983,,borough,12,Essex,England
439,Coventry,1660,1945,,borough,36,Warwickshire,England
443,Dartmouth,1660,1868,,borough,9,Devon,England
