return_id,election_id,name_on_return,party,member_id,unopposed,votes,winner
26469,13164,Sir Henry Peyton,,,0,1592,1
26470,13164,Lord Charles Henry Somerset Manners,,682,0,1500,0
163265,51271,Andrew McDouall,,1156,1,,1
28814,14441,Mr Joseph Richardson,,962,1,,1
28815,14441,Mr William Northey,,961,1,,1
163274,51278,Charles Watkin Williams Wynn,,3101,1,,1
28146,14093,Lord Archibald Hamilton,,882,1,,1
163269,51273,"(Sir) Robert Williames Vaughan, Bt",,3095,1,,1
28190,14115,Mr Thomas Babington,,890,0,1169,1
28191,14115,Mr Samuel Smith,,889,0,893,1
28192,14115,Mr Felix McCarthy,,,0,333,0
33601,16974,Mr William Morland,,1100,1,,1
33602,16974,Mr John Hammet,,1101,1,,1
28154,14098,Mr Thomas Stanley,,883,1,,1
28155,14098,Mr John Blackburne,,884,1,,1
28773,14422,Sir Charles Morice Pole,,956,1,,1
28774,14422,Mr Thomas Manners-Sutton,,955,1,,1
28132,14085,Lord John Townshend,,880,1,,1
28133,14085,Mr James Hare,,879,1,,1
28016,14019,Mr Filmer Honywood,,867,0,4761,1
28017,14019,Sir William Geary,,866,0,4085,1
28018,14019,Sir Edward Knatchbull,,1429,0,3933,0
28060,14043,Hon James Wandesford Butler,,6812,1,,1
28061,14043,Mr William Brabazon Ponsonby,,11034,1,,1
28078,14055,Sir Lawrence Parsons,,11033,1,,1
28079,14055,Mr Thomas Bernard,,872,1,,1
28071,14049,Sir John Wishart Belsches Stuart,,871,1,,1
28030,14025,Mr Maurice Fitzgerald,,1482,1,,1
28031,14025,Mr James Crosbie,,1780,1,,1
28052,14036,Mr Charles Harward Butler,,870,1,,1
28041,14030,Lord Robert Stephen Fitzgerald,,868,1,,1
28042,14030,Mr Robert Latouche,,869,1,,1
27866,13948,Mr Francis Ferrand Foljambe,,847,1,,1
27938,13985,Mr Matthew White,,859,0,105,1
27939,13985,Mr Thomas Godfrey,,858,0,92,1
27940,13985,Mr Charles Marsham,,1197,0,90,0
27941,13985,Mr Alexander Evelyn,,,0,71,0
27980,13998,Mr Alexander Penrose Cumming-Gordon,,862,0,2,1
27981,13998,Sir Hector Munro,,,0,2,0
27991,14007,Mr Charles Grant,,863,0,15,1
27992,14007,Mr John Simon Frederick Fraser,,,0,11,0
27993,14007,Mr Arthur Forbes,,,0,6,0
27961,13992,Mr William Hunter,,860,0,62,1
27962,13992,Mr Thomas Plummer,,861,0,61,1
27963,13992,Sir William Manners,,1340,0,57,0
27964,13992,Mr James Graham,,,0,56,0
27872,13954,Mr Thomas Wallace,,849,1,,1
27873,13954,Mr John Pedley,,848,1,,1
27897,13966,Mr Edward Hilliard,,852,1,,1
27898,13966,Mr Patrick Ross,,853,1,,1
27914,13973,Mr William Henry Fellowes,,855,1,,1
27915,13973,Mr John Calvert,,854,1,,1
27882,13959,Mr George Shum,,850,0,73,1
27883,13959,Sir John Honywood,,851,0,48,1
27884,13959,Mr George Yonge,,,0,41,0
27799,13913,Mr John Scudamore,,838,1,,1
27800,13913,Mr Thomas Powell Symonds,,839,1,,1
27812,13920,Sir George Cornewall,,840,0,2592,1
27813,13920,Sir John Geers Cotterell,,1424,0,2049,1
27814,13920,Mr Robert Myddelton Biddulph,,,0,1176,0
27837,13932,Mr William Plumer,,843,0,1940,1
27838,13932,Mr Peniston Lamb,,844,0,1192,1
27839,13932,Mr William Baker,,1259,0,891,0
27825,13926,Mr Edward Spencer Cowper,,842,1,,1
27826,13926,Mr Nicolson Calvert,,841,1,,1
27781,13903,Mr James Edward Harris,,836,1,,1
27782,13903,Mr John Penn,,837,1,,1
27746,13884,Mr Sylvester Douglas,,832,1,,1
27747,13884,Mr George William Gunning,,1714,1,,1
27499,13758,Sir Mark Wood,,803,1,,1
27500,13758,Mr James Dashwood,,802,1,,1
27270,13616,Mr John Buller,,778,1,,1
27271,13616,Sir Edward Buller,,777,1,,1
27283,13622,Mr Robert Crauford,,779,0,85,1
27284,13622,Mr John Jaffray,,780,0,77,1
27285,13622,Mr William Bowles,,,0,69,0
27286,13622,Mr Henry Bonham,,,0,59,0
27322,13647,Hon. Francis William Ogilvie-Grant,,783,1,,1
27691,13853,Mr Charles Hope,,825,1,,1
28767,14416,Mr Charles Tottenham,,954,1,,1
27067,13486,Mr Charles Stewart Hawthorne,,756,0,96,1
27068,13486,Hon Fulk Grenville Upton,,,0,87,0
28754,14409,Mr John Willett Willett,,952,1,,1
28755,14409,Mr Manasseh Lopes,,953,1,,1
27392,13694,Mr William Cornwallis,,793,0,114,1
27393,13694,Mr James Cornwallis,,794,0,114,1
27394,13694,Mr Thomas Cobb,,,0,15,0
27395,13694,Mr George Frederick Stratton,,,0,15,0
27589,13804,Mr Thomas Thoroton,,812,0,444,1
27590,13804,Sir William Earle Welby,,813,0,434,1
27591,13804,Mr John Manners,,,0,406,0
27592,13804,Hon Augustus Richard Butler Danvers,,,0,339,0
27432,13717,Mr Watkin Williams,,796,1,,1
27441,13722,Sir Thomas Mostyn,,797,1,,1
26328,13079,Mr Charles Bragge,,662,1,,1
26329,13079,Mr Evan Baillie,,663,1,,1
27452,13733,Mr Reginald Pole Carew,,799,1,,1
27453,13733,Mr Edward Golding,,1012,1,,1
27297,13627,Mr Henry Dundas,,781,1,,1
27512,13766,Mr Thomas Wyndham,,804,1,,1
27472,13742,Mr Denis Bowes Daly,,801,1,,1
29827,14980,Sir Thomas Charles Bunbury,,1090,1,,1
29828,14980,Mr Charles Cornwallis,,1091,1,,1
28786,14430,Mr Edward Wilbraham Bootle,,959,0,312,1
28787,14430,Sir Robert Lawley,,960,0,309,1
28788,14430,Mr Oliver Beckett,,,0,247,0
