,name,match,in_commons,returns_name
1,lord grenville,FALSE,FALSE,
2,lord henry petty,TRUE,,
3,nicholas vansittart,TRUE,,
4,john king,FALSE,FALSE,
5,william henry fremantle,TRUE,,
6,viscount althorp,FALSE,TRUE,john charles spencer visct althorp
7,william wickham,TRUE,,
8,john courtenay,TRUE,,
9,lord erskine,FALSE,TRUE,thomas erskine
10,earl fitzwilliam,FALSE,TRUE,charles william wentworth fitzwilliam visct milton
11,viscount sidmouth,FALSE,TRUE,henry addington
12,lord holland,FALSE,FALSE,
13,earl spencer,FALSE,FALSE,
14,charles williams-wynn,FALSE,TRUE,
15,charles james fox,TRUE,,
16,viscount howick,TRUE,,
17,george walpole,TRUE,,
18,francis vincent,FALSE,TRUE,francis vincent bt
19,william windham,TRUE,,
20,george shee,FALSE,FALSE,
21,james cockburn,FALSE,FALSE,
22,charles grey[a],FALSE,TRUE,charles grey visct howick
23,thomas grenville,TRUE,,
24,william marsden,FALSE,FALSE,
25,philip stephens,FALSE,TRUE,philip stephens bt
26,lord william russell,TRUE,,
27,lord kensington,FALSE,,
28,william frankland,TRUE,,
29,lord auckland,FALSE,FALSE,
30,earl temple,FALSE,,richard temple nugent brydges chandos grenville earl temple
31,lord minto,FALSE,FALSE,
32,george tierney,TRUE,,
33,thomas creevey,TRUE,,
34,earl of derby,FALSE,TRUE,edward smith stanley lord stanley
35,earl of moira,FALSE,FALSE,
36,thomas trigge,TRUE,,
37,alexander davison,FALSE,FALSE,
38,james murray hadden,FALSE,FALSE,
39,john calcraft,TRUE,,
40,james lloyd,FALSE,TRUE,james martin lloyd
41,john mcmahon,TRUE,,
42,richard brinsley sheridan,TRUE,,
43,richard fitzpatrick,TRUE,,
44,lord charles spencer,FALSE,FALSE,
45,charles bathurst,FALSE,TRUE,charles bragge bathurst
46,lord john townshend,TRUE,,
47,earl of carysfort,FALSE,FALSE,
48,earl of buckinghamshire,FALSE,FALSE,
49,duke of bedford,FALSE,FALSE,
50,duke of richmond,FALSE,TRUE,charles lennox
51,william elliot,TRUE,,
52,lord ellenborough,FALSE,FALSE,
53,arthur piggott,FALSE,TRUE,arthur leary piggott
54,samuel romilly,TRUE,,
55,nathaniel bond,TRUE,,
56,henry erskine,FALSE,FALSE,
57,john clerk,FALSE,FALSE,
58,william plunket,FALSE,FALSE,
59,charles kendal bushe,FALSE,FALSE,
60,earl of aylesford,FALSE,FALSE,
61,lord ossulston,TRUE,,
62,lord george thynne,TRUE,,
63,earl of dartmouth,FALSE,FALSE,
64,lord john thynne,TRUE,,
65,earl of carnarvon,FALSE,FALSE,
66,earl of albemarle,FALSE,FALSE,
67,lord st john of bletso,FALSE,TRUE,st andrew st john
68,earl of macclesfield,FALSE,FALSE,
69,duke of portland,FALSE,TRUE,lord william henry cavendish bentinck
70,spencer perceval,TRUE,,
71,henry wellesley,TRUE,,
72,charles arbuthnot,TRUE,,
73,william huskisson,TRUE,,
74,"william cavendish-scott-bentinck, marquess of titchfield",FALSE,TRIE,william henry cavendish cavendish scott bentinck mq of titchfield
75,william eliot,TRUE,,
76,william sturges bourne,TRUE,,
77,john foster,FALSE,FALSE,
78,richard ryder,TRUE,,
79,william brodrick,TRUE,,
80,snowdon barne,TRUE,,
81,earl camden,FALSE,,
82,lord eldon,FALSE,FALSE,
83,lord hawkesbury[1],FALSE,FALSE,
84,charles watkin williams-wynn,FALSE,FALSE,
85,charles jenkinson,TRUE,,
86,george canning,TRUE,,
87,viscount fitzharris,TRUE,,
88,charles bagot,TRUE,,
89,earl bathurst,FALSE,FALSE,
90,george rose,TRUE,,
91,viscount castlereagh,TRUE,,
92,edward cooke,FALSE,FALSE,
93,charles stewart,TRUE,,
94,f. j. robinson[2],FALSE,TRUE,frederick john robinson
95,robert saunders-dundas,FALSE,FALSE,
96,earl of harrowby,FALSE,TRUE,dudley ryder
97,george peter holford,TRUE,,
98,lord mulgrave,FALSE,FALSE,
99,william wellesley-pole,FALSE,,william pole tylney long wellesley
100,robert plumer ward,FALSE,TRUE,robert ward
101,viscount palmerston,TRUE,,
102,james buller,FALSE,TRUE,james buller ii
103,earl of westmorland,FALSE,TRUE,john fane lord burghersh
104,earl of chatham,FALSE,FALSE,
105,joseph hunt,TRUE,,
106,cropley ashley-cooper,FALSE,TRUE,cropley ashley
107,thomas thoroton,TRUE,,
108,mark singleton,TRUE,,
109,james murray pulteney,FALSE,TRUE,james pulteney bt
110,lord granville leveson-gower,FALSE,TRUE,lord granville leveson gower
111,charles long,TRUE,,
112,lord charles henry somerset,TRUE,,
113,earl of chichester,FALSE,FALSE,
114,earl of sandwich,FALSE,FALSE,
115,lord glenbervie,FALSE,TRUE,sylvester douglas baron glenbervie i
116,arthur wellesley,TRUE,,
117,vicary gibbs,TRUE,,
118,thomas plumer,TRUE,,
119,archibald colquhoun,FALSE,FALSE,
120,david boyle,FALSE,FALSE,
121,william saurin,FALSE,FALSE,
122,viscount stopford,FALSE,TRUE,james george stopford visct stopford
123,duke of montrose,FALSE,FALSE,
124,marquess cornwallis,FALSE,TRUE,charles cornwallis visct brome
125,earl of mount edgcumbe,FALSE,FALSE,
126,charles arbuthnot[note 1],FALSE,TRUE,charles arbuthnot
127,richard wharton[note 2],FALSE,TRUE,richard wharton
128,earl of desart,FALSE,TRUE,john otway cuffe earl of desart i
129,berkeley paget,TRUE,,
130,richard wellesley,TRUE,,
131,henry goulburn,TRUE,,
132,marquess wellesley,FALSE,FALSE,
133,charles culling smith,FALSE,FALSE,
134,earl of liverpool,FALSE,FALSE,
135,robert peel,FALSE,TRUE,robert peel i bt
136,f. j. robinson,FALSE,TRUE,frederick john robinson
137,henry bunbury,FALSE,TRUE,henry edward bunbury bt
138,charles philip yorke,TRUE,,
139,viscount melville,FALSE,FALSE,
140,john wilson croker,TRUE,,
141,viscount lowther,TRUE,,
142,lord walpole,TRUE,,
143,william dundas,FALSE,FALSE,
144,robert dundas[note 3],FALSE,FALSE,
145,patrick murray,FALSE,,
146,john bruce,TRUE,TRUE,john bruce
147,thomas alcock,TRUE,,
148,robert moorsom,TRUE,,
149,lord charles somerset,FALSE,TRUE,lord charles henry somerset
150,charles manners-sutton,FALSE,TRUE,charles manners sutton
151,david monypenny,FALSE,,
152,earl of cholmondeley,FALSE,FALSE,
153,viscount stopford[note 5],FALSE,TRUE,james george stopford visct stopford
154,viscount jocelyn,TRUE,,
155,vacant[note 6],FALSE,FALSE,
156,marquess of hertford,FALSE,FALSE,
157,earl of yarmouth,TRUE,,
158,earl of courtown,FALSE,TRUE,james george stopford visct stopford
159,richard wharton,TRUE,,
160,stephen rumbold lushington,TRUE,,
161,john charles herries,TRUE,,
162,william vesey-fitzgerald,FALSE,TRUE,william vesey fitzgerald
163,james brogden,TRUE,,
164,charles grant,FALSE,FALSE,
165,john maxwell-barry,FALSE,FALSE,
166,william odell,FALSE,FALSE,
167,lord granville somerset,TRUE,,
168,edmond alexander macnaghten,TRUE,,
169,earl of mount charles,FALSE,TRUE,lord francis nathaniel conyngham
170,lord eldon[a],FALSE,TRUE,john scott
171,john hiley addington,TRUE,,
172,henry clive,TRUE,,
173,george robert dawson,TRUE,,
174,viscount castlereagh[b],FALSE,TRUE,robert steward visct castlereagh
175,joseph planta,TRUE,,
176,earl of clanwilliam,FALSE,,
177,lord francis conyngham[c],FALSE,TRUE,lord francis nathaniel conyngham
178,lord howard de walden,FALSE,FALSE,
