,Office,Name,Date,cabinet,start,end,office_term,start_office,end_office,next_start,is_end
1,First Lord of the TreasuryLeader of the House of Lords,The Lord Grenville,11 February 1806 –  31 March 1807,TRUE,1806-02-11,1807-03-31,11 February 1806 –  31 March 1807,1806-02-11,1807-03-31,NA,FALSE
2,Chancellor of the Exchequer,Lord Henry Petty,11 February 1806,TRUE,1806-02-11,1807-03-31,11 February 1806,1806-02-11,1807-03-31,NA,TRUE
3,Joint Secretaries to the Treasury,Nicholas Vansittart,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,February ,FALSE
4,Joint Secretaries to the Treasury,John King,February –  July 1806,FALSE,1806-02-11,1807-03-31,February –  July 1806,1806-02-01,1806-07-01,July 1806,FALSE
5,Joint Secretaries to the Treasury,William Henry Fremantle,July 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,July 1806 –  March 1807,1806-07-01,1807-03-01,NA,FALSE
6,Junior Lords of the Treasury,Viscount Althorp,11 February 1806,FALSE,1806-02-11,1807-03-31,11 February 1806,1806-02-11,1807-03-31,11 February 1806,TRUE
7,Junior Lords of the Treasury,William Wickham,11 February 1806,FALSE,1806-02-11,1807-03-31,11 February 1806,1806-02-11,1807-03-31,11 February 1806,TRUE
8,Junior Lords of the Treasury,John Courtenay,11 February 1806,FALSE,1806-02-11,1807-03-31,11 February 1806,1806-02-11,1807-03-31,NA,TRUE
9,Lord Chancellor,The Lord Erskine,February 1806,TRUE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
10,Lord President of the Council,The Earl Fitzwilliam,19 February 1806,TRUE,1806-02-11,1807-03-31,19 February 1806,1806-02-19,1807-03-31,8 October 1806,TRUE
11,Lord President of the Council,The Viscount Sidmouth,8 October 1806,TRUE,1806-02-11,1807-03-31,8 October 1806,1806-10-08,1807-03-31,NA,TRUE
12,Lord Privy Seal,The Viscount Sidmouth,February 1806,TRUE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,8 October 1806,TRUE
13,Lord Privy Seal,The Lord Holland,8 October 1806,TRUE,1806-02-11,1807-03-31,8 October 1806,1806-10-08,1807-03-31,NA,TRUE
14,Secretary of State for the Home Department,The Earl Spencer,5 February 1806,TRUE,1806-02-11,1807-03-31,5 February 1806,1806-02-05,1807-03-31,NA,TRUE
15,Under-Secretary of State for the Home Department,Charles Williams-Wynn,February 1806,FALSE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
16,Secretary of State for Foreign AffairsLeader of the House of Commons,Charles James Fox,7 February 1806 –  13 September 1806,TRUE,1806-02-11,1807-03-31,7 February 1806 –  13 September 1806,1806-02-07,1806-09-13,24 September 1806,FALSE
17,Secretary of State for Foreign AffairsLeader of the House of Commons,Viscount Howick,24 September 1806,TRUE,1806-02-11,1807-03-31,24 September 1806,1806-09-24,1807-03-31,NA,TRUE
18,Parliamentary Under-Secretary of State for Foreign Affairs,George Walpole,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,February 1806,FALSE
19,Parliamentary Under-Secretary of State for Foreign Affairs,Sir Francis Vincent,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,NA,FALSE
20,Secretary of State for War and the Colonies,William Windham,February 1806,TRUE,1806-02-11,1807-03-31,February 1806,1806-02-01,1807-03-31,NA,TRUE
21,Under-Secretary of State for War and the Colonies,Sir George Shee,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,February 1806,FALSE
22,Under-Secretary of State for War and the Colonies,Sir James Cockburn,February 1806 –  March 1807,FALSE,1806-02-11,1807-03-31,February 1806 –  March 1807,1806-02-01,1807-03-01,NA,FALSE
23,First Lord of the Admiralty,Charles Grey[a],10 February 1806,FALSE,1806-02-11,1807-03-31,10 February 1806,1806-02-10,1807-03-31,29 September 1806,TRUE
24,First Lord of the Admiralty,Thomas Grenville,29 September 1806,TRUE,1806-02-11,1807-03-31,29 September 1806,1806-09-29,1807-03-31,NA,TRUE
25,First Secretary to the Admiralty,William Marsden,Continued in office,FALSE,1806-02-11,1807-03-31,1806-02-11,1806-02-11,1807-03-31,NA,TRUE
26,Civil Lords of the Admiralty,Sir Philip Stephens,10 February –  23 October 1806,FALSE,1806-02-11,1807-03-31,10 February –  23 October 1806,1806-02-10,1806-10-23,10 February 1806,FALSE
